,artist_name,album_name,spotify_id,popularity,duration_ms,tempo,loudness,instrumentalness,acousticness,speechiness,liveness,danceability,energy,valence,key,mode,time_signature,duration_ms_standard_dev,tempo_standard_dev,loudness_standard_dev,instrumentalness_standard_dev,acousticness_standard_dev,speechiness_standard_dev,liveness_standard_dev,danceability_standard_dev,energy_standard_dev,valence_standard_dev,score
0,"""Weird Al"" Yankovic",Mandatory Fun,36jlZKG1sNZQA2HbWdYveV,51.0,227201.08333333334,134.41441666666665,-9.953666666666669,0.0,0.08333333333333333,0.10026666666666667,0.0,0.5871666666666666,0.6560833333333334,0.6909166666666667,9,1,4,108027.52563747842,31.23545833142587,2.147682909274058,0.0,0.2886751345948129,0.10911670427352152,0.0,0.1780581280641155,0.1790979713266829,0.22666894495289955,7.0
1,(Sandy) Alex G,Beach Music,0aABjw7BY2iRsK4ZdkwSjF,48.0,171639.07692307694,112.47492307692308,-11.21723076923077,0.15384615384615385,0.38461538461538464,0.03288461538461538,0.0,0.5041615384615385,0.4369230769230769,0.36381538461538465,2,1,4,74976.54823727832,26.156683373029598,1.8655575196102532,0.3755338080994054,0.5063696835418333,0.004760750317937664,0.0,0.16333612347172083,0.12809076309298648,0.26159831117623145,6.0
2,(Sandy) Alex G,Rocket,5Pq92omNLyQgGGrj2u4pur,50.0,179333.64285714287,128.35771428571428,-7.042714285714285,0.2857142857142857,0.21428571428571427,0.04984285714285713,0.0,0.4611428571428572,0.5889285714285714,0.4627142857142857,9,1,4,51685.56784666169,32.65334209877727,2.149562868927663,0.4688072309384954,0.42581531362632,0.07210896364088612,0.0,0.15245471314603418,0.19717523026123598,0.18016677255827704,5.0
3,2 Chainz,Based On A T.R.U. Story,5fL5QvYTODefwIrQVAHa0f,36.0,250958.92307692306,135.05669230769232,-5.171384615384616,0.0,0.07692307692307693,0.15334615384615385,0.0,0.7648461538461538,0.6838461538461538,0.4380692307692308,6,1,4,33730.362060665604,14.662921976790157,1.4669277725040146,0.0,0.2773500981126146,0.08306453931918056,0.0,0.11440778393816141,0.12950987488337595,0.2566119228998508,4.0
4,21 Savage,Issa Album,1GeQZeg77rUX8s0pEiz8jS,39.0,242553.5,129.12664285714285,-10.567214285714286,0.14285714285714285,0.07142857142857142,0.34349999999999997,0.0,0.8331428571428573,0.4652142857142857,0.2882785714285715,1,1,4,72342.43482190475,33.86750673207658,1.6234692756596867,0.3631365196012814,0.2672612419124244,0.09205579411839993,0.0,0.06506429617972238,0.11015316509397166,0.14504145921118514,3.0
5,21 Savage,Without Warning,0MV1yCXcNNQBfwApqAVkH0,76.0,200942.7,127.3616,-7.803499999999998,0.1,0.1,0.25239,0.0,0.8282000000000002,0.38799999999999996,0.21588000000000002,2,1,4,44315.218770505664,31.053166101596364,1.668499142609576,0.31622776601683794,0.31622776601683794,0.15295649672010958,0.0,0.06719755286549581,0.07718376340483364,0.17208644339401052,7.0
6,A Perfect Circle,Eat The Elephant,3Jr1RhAyndBxtyi8rJs3Op,59.0,286167.9166666667,117.66133333333333,-6.565833333333333,0.16666666666666666,0.16666666666666666,0.05240000000000001,0.0,0.427,0.6678333333333333,0.21091666666666664,2,1,4,71137.64470946873,36.91910174060757,3.9837730592842244,0.38924947208076144,0.38924947208076144,0.03999502241756864,0.0,0.14651962325913892,0.19270317888274482,0.0876049586945784,5.0
7,A Place To Bury Strangers,Onwards to the Wall,1Mq8EWtelbwo1RoxHLZFAT,20.0,200677.2,146.62580000000003,-2.7564,0.4,0.0,0.10329999999999999,0.0,0.31128,0.8770000000000001,0.15346,11,0,4,25313.818256043476,25.77402759950412,1.4394015423084694,0.5477225575051662,0.0,0.05783623431725133,0.0,0.13210977253784068,0.14293530004865837,0.10661556171591464,5.0
8,A Sunny Day In Glasgow,Sea When Absent,6V15ZxQvFbfbajjXEetZrL,24.0,256909.18181818182,123.24181818181818,-6.4630909090909086,0.09090909090909091,0.0,0.0337,0.0,0.4250909090909092,0.6538181818181819,0.20927272727272728,8,1,4,61415.79443077844,25.454074796850037,1.84993986143039,0.30151134457776363,0.0,0.009548717191329945,0.0,0.10808742252959365,0.12517573101988916,0.06612728772464649,7.0
9,A Tribe Called Quest,We got it from Here... Thank You 4 Your service,0Incoil3u4Vj41GTEne0Ag,28.0,226731.5,101.4235,-6.5326249999999995,0.0,0.125,0.23173749999999999,0.0,0.7004999999999999,0.652875,0.5561875000000001,1,1,4,55520.88638701655,24.87910300633847,1.1061932847985172,0.0,0.3415650255319866,0.11167182799017245,0.0,0.09482615672903759,0.09275262799511398,0.18960141305732228,9.0
