spotify_id,album_name,artist_name,track_name,duration_ms,key,mode,tempo,time_signature,popularity,loudness,instrumentalness,acousticness,speechiness,liveness,danceability,energy,valence
5c7XChrHxYaqykCZLaGM5f,Cosmogramma,Flying Lotus,Clock Catcher,72627,5,0,93.7,4,51,-5.876,0.148,0.192,0.221,0.596,0.423,0.708,0.149
5c7XChrHxYaqykCZLaGM5f,Cosmogramma,Flying Lotus,Pickled!,133693,6,0,156.221,4,51,-2.545,0.188,0.00135,0.376,0.167,0.425,0.936,0.397
5c7XChrHxYaqykCZLaGM5f,Cosmogramma,Flying Lotus,Nose Art,118320,0,1,76.972,4,51,-3.211,0.00167,0.000613,0.317,0.0991,0.685,0.989,0.522
5c7XChrHxYaqykCZLaGM5f,Cosmogramma,Flying Lotus,Intro//A Cosmic Drama,74760,9,0,62.156,5,51,-7.744,0.0526,0.292,0.0324,0.133,0.218,0.554,0.131
5c7XChrHxYaqykCZLaGM5f,Cosmogramma,Flying Lotus,Zodiac Shit,164640,10,0,79.275,4,51,-4.606,0.0641,0.0229,0.273,0.3,0.346,0.753,0.184
5c7XChrHxYaqykCZLaGM5f,Cosmogramma,Flying Lotus,Computer Face//Pure Being,152840,11,0,154.063,4,51,-4.68,0.936,0.000969,0.177,0.201,0.511,0.841,0.343
5c7XChrHxYaqykCZLaGM5f,Cosmogramma,Flying Lotus,...And The World Laughs With You,175040,8,0,80.929,4,51,-7.643,0.494,0.185,0.143,0.141,0.637,0.717,0.541
5c7XChrHxYaqykCZLaGM5f,Cosmogramma,Flying Lotus,Arkestry,171227,4,0,85.687,4,51,-7.066,0.668,0.165,0.225,0.677,0.215,0.899,0.194
5c7XChrHxYaqykCZLaGM5f,Cosmogramma,Flying Lotus,MmmHmm,254840,9,0,78.054,4,51,-6.463,0.0063,0.361,0.0891,0.149,0.466,0.698,0.274
5c7XChrHxYaqykCZLaGM5f,Cosmogramma,Flying Lotus,Do The Astral Plane,237920,8,0,117.693,4,51,-3.227,0,0.0505,0.19,0.114,0.722,0.828,0.275
5c7XChrHxYaqykCZLaGM5f,Cosmogramma,Flying Lotus,Satelllliiiiiiiteee,229093,0,1,114.654,4,51,-7.726,0.711,0.228,0.0742,0.109,0.419,0.911,0.288
5c7XChrHxYaqykCZLaGM5f,Cosmogramma,Flying Lotus,German Haircut,117173,8,0,74.423,5,51,-10.657,0.502,0.469,0.0636,0.392,0.326,0.592,0.201
5c7XChrHxYaqykCZLaGM5f,Cosmogramma,Flying Lotus,Recoiled,216573,11,0,136.865,4,51,-4.858,0.00787,0.0452,0.343,0.228,0.414,0.928,0.101
5c7XChrHxYaqykCZLaGM5f,Cosmogramma,Flying Lotus,Dance Of The Pseudo Nymph,166640,11,0,82.994,4,51,-4.806,0.895,0.0135,0.0995,0.282,0.575,0.958,0.923
5c7XChrHxYaqykCZLaGM5f,Cosmogramma,Flying Lotus,Drips//Auntie's Harp,130413,9,0,146.692,3,51,-8.25,0.272,0.054,0.0774,0.141,0.15,0.773,0.0388
5c7XChrHxYaqykCZLaGM5f,Cosmogramma,Flying Lotus,Table Tennis,181547,4,0,128.723,4,51,-6.15,9.55e-06,0.02,0.0568,0.757,0.492,0.662,0.149
5c7XChrHxYaqykCZLaGM5f,Cosmogramma,Flying Lotus,Galaxy In Janaki,147640,3,0,80.537,4,51,-3.329,0.00238,0.011,0.0859,0.35,0.439,0.962,0.54
1SpWwIEwnXRhc8co4h17hf,Throat,Little Women,Throat I,288893,10,0,85.58,3,7,-2.445,0.94,0.0825,0.126,0.94,0.215,0.994,0.0259
1SpWwIEwnXRhc8co4h17hf,Throat,Little Women,Throat II,302840,0,0,138.342,3,7,-11.093,0.882,0.965,0.0456,0.156,0.316,0.153,0.035
1SpWwIEwnXRhc8co4h17hf,Throat,Little Women,Throat III,437560,4,0,79.207,4,7,-2.474,0.967,0.000357,0.203,0.139,0.103,0.997,0.0329
1SpWwIEwnXRhc8co4h17hf,Throat,Little Women,Throat IV,697227,2,1,77.652,4,7,-4.351,0.536,0.0569,0.164,0.485,0.111,0.871,0.122
1SpWwIEwnXRhc8co4h17hf,Throat,Little Women,Throat V,356800,7,1,93.009,4,7,-7.852,0.442,0.369,0.0489,0.0893,0.355,0.305,0.0825
1SpWwIEwnXRhc8co4h17hf,Throat,Little Women,Throat VI,260960,1,1,82.139,4,7,-2.2,0.794,0.00489,0.0855,0.103,0.232,0.961,0.0297
1SpWwIEwnXRhc8co4h17hf,Throat,Little Women,Throat VII,130187,11,1,142.628,3,7,-10.412,0,0.899,0.408,0.368,0.597,0.278,0.217
1BStiBF6YFDPgGuNPh5rhi,Latin,Holy Fuck,1MD,248747,1,0,96.761,4,24,-15.11,0.765,0.468,0.0436,0.0945,0.152,0.0744,0.039
1BStiBF6YFDPgGuNPh5rhi,Latin,Holy Fuck,Red Lights,228707,0,1,122.397,4,24,-4.57,0.746,0.01,0.0522,0.157,0.721,0.939,0.902
1BStiBF6YFDPgGuNPh5rhi,Latin,Holy Fuck,Latin America,289107,0,1,105.729,4,24,-4.868,0.914,0.0433,0.0346,0.0818,0.558,0.875,0.407
1BStiBF6YFDPgGuNPh5rhi,Latin,Holy Fuck,Stay Lit,199493,6,0,135.874,4,24,-5.266,0.937,0.00562,0.0357,0.11,0.606,0.816,0.374
1BStiBF6YFDPgGuNPh5rhi,Latin,Holy Fuck,Silva & Grimes,313973,0,1,170.021,4,24,-5.462,0.957,0.0337,0.0815,0.147,0.284,0.922,0.085
1BStiBF6YFDPgGuNPh5rhi,Latin,Holy Fuck,SHT MTN,171693,2,1,126.976,4,24,-3.12,0.922,0.00493,0.0591,0.107,0.624,0.782,0.778
1BStiBF6YFDPgGuNPh5rhi,Latin,Holy Fuck,Stilettos,235467,6,0,170.083,4,24,-3.495,0.873,0.00572,0.062,0.0749,0.489,0.958,0.508
1BStiBF6YFDPgGuNPh5rhi,Latin,Holy Fuck,Lucky,251067,1,1,105.015,4,24,-5.652,0.821,0.0014,0.0943,0.0547,0.6,0.942,0.596
1BStiBF6YFDPgGuNPh5rhi,Latin,Holy Fuck,P.I.G.S.,362773,8,1,120.092,4,24,-3.412,0.891,0.0297,0.11,0.0738,0.65,0.963,0.211
59gXPxZ8CwFaeknPxtxXHZ,High Violet,The National,Terrible Love,279760,7,1,77.923,4,45,-6.023,0.722,0.549,0.0563,0.118,0.257,0.794,0.35
59gXPxZ8CwFaeknPxtxXHZ,High Violet,The National,Sorrow,205213,1,0,122.278,4,45,-8.83,0.659,0.172,0.0274,0.0584,0.55,0.74,0.521
59gXPxZ8CwFaeknPxtxXHZ,High Violet,The National,Anyone’s Ghost,174173,6,1,120.064,4,45,-7.133,0.776,0.281,0.0915,0.108,0.745,0.789,0.745
59gXPxZ8CwFaeknPxtxXHZ,High Violet,The National,Little Faith,276640,7,0,149.993,4,45,-7.729,0.128,0.418,0.0359,0.0776,0.418,0.725,0.338
59gXPxZ8CwFaeknPxtxXHZ,High Violet,The National,Afraid Of Everyone,259093,9,0,126.027,4,45,-7.639,0.8,0.504,0.0508,0.0997,0.527,0.778,0.24
59gXPxZ8CwFaeknPxtxXHZ,High Violet,The National,Bloodbuzz Ohio,275933,9,1,157.077,4,45,-6.367,0.18,0.0554,0.0444,0.103,0.39,0.834,0.684
59gXPxZ8CwFaeknPxtxXHZ,High Violet,The National,Lemonworld,203733,1,1,126.008,4,45,-8.546,0.709,0.63,0.0356,0.0902,0.648,0.745,0.588
59gXPxZ8CwFaeknPxtxXHZ,High Violet,The National,Runaway,333787,4,1,135.037,3,45,-10.321,0.557,0.869,0.0325,0.117,0.583,0.441,0.349
59gXPxZ8CwFaeknPxtxXHZ,High Violet,The National,Conversation 16,258933,11,0,116.976,4,45,-7.61,0.913,0.611,0.0369,0.24,0.554,0.851,0.513
59gXPxZ8CwFaeknPxtxXHZ,High Violet,The National,England,340187,0,0,122.97,4,45,-8.955,0.819,0.701,0.0398,0.106,0.491,0.645,0.258
59gXPxZ8CwFaeknPxtxXHZ,High Violet,The National,Vanderlyle Crybaby Geeks,252200,9,1,117.933,3,45,-7.683,0.000119,0.702,0.0282,0.174,0.468,0.513,0.31
45YGCEh09Ji6rdHjPgNdw8,At Echo Lake,Woods,Blood Dries Darker,269400,7,1,132.547,4,23,-5.557,0.49,0.587,0.0503,0.138,0.474,0.871,0.347
45YGCEh09Ji6rdHjPgNdw8,At Echo Lake,Woods,Pick Up,148120,7,1,104.778,4,23,-8.867,0.783,0.925,0.0498,0.114,0.496,0.573,0.529
45YGCEh09Ji6rdHjPgNdw8,At Echo Lake,Woods,Suffering Season,186933,0,1,124.045,4,23,-4.427,5.39e-06,0.0326,0.0424,0.104,0.334,0.867,0.724
45YGCEh09Ji6rdHjPgNdw8,At Echo Lake,Woods,Time Fading Lines,219533,0,1,125.569,4,23,-5.98,9.94e-05,0.654,0.0285,0.713,0.434,0.606,0.261
45YGCEh09Ji6rdHjPgNdw8,At Echo Lake,Woods,From the Horn,124720,9,1,135.84,4,23,-4.742,0.257,0.133,0.0531,0.179,0.464,0.935,0.304
45YGCEh09Ji6rdHjPgNdw8,At Echo Lake,Woods,Death Rattles,204227,4,0,116.294,4,23,-7.988,0.809,0.937,0.033,0.124,0.522,0.535,0.491
45YGCEh09Ji6rdHjPgNdw8,At Echo Lake,Woods,Mornin' Time,112720,0,1,148.896,4,23,-4.498,0.0802,0.723,0.104,0.452,0.396,0.942,0.499
45YGCEh09Ji6rdHjPgNdw8,At Echo Lake,Woods,I Was Gone,113440,5,1,136.756,4,23,-4.208,0.855,0.796,0.0361,0.131,0.37,0.788,0.667
45YGCEh09Ji6rdHjPgNdw8,At Echo Lake,Woods,Get Back,125547,7,1,89.673,4,23,-5.693,0.0826,0.805,0.0378,0.136,0.419,0.678,0.587
45YGCEh09Ji6rdHjPgNdw8,At Echo Lake,Woods,Deep,119573,9,0,98.541,4,23,-7.944,0.856,0.939,0.0318,0.363,0.738,0.511,0.619
45YGCEh09Ji6rdHjPgNdw8,At Echo Lake,Woods,Til the Sun Rips,143987,7,1,118.732,4,23,-10.763,0.826,0.929,0.0575,0.662,0.542,0.387,0.352
2c4mwBI6iRg3QIAvFs4gek,Together,The New Pornographers,Moves,232920,11,1,167.905,4,34,-8.395,1.18e-06,0.298,0.0321,0.141,0.601,0.578,0.658
2c4mwBI6iRg3QIAvFs4gek,Together,The New Pornographers,Crash Years,246573,5,1,125.676,4,34,-6.393,0.000591,0.283,0.0319,0.36,0.68,0.805,0.791
2c4mwBI6iRg3QIAvFs4gek,Together,The New Pornographers,Your Hands (Together),212787,0,1,150.712,4,34,-8.211,0,0.0163,0.0361,0.343,0.325,0.528,0.464
2c4mwBI6iRg3QIAvFs4gek,Together,The New Pornographers,Silver Jenny Dollar,172693,2,1,121.54,4,34,-7.609,0.00109,0.0057,0.0372,0.335,0.56,0.825,0.907
